,Unnamed: 0,@type,name,offers.@type,offers.price,offers.priceCurrency,type_of_plate,rating,cuisine,direction,geo,restaurant
0,0,MenuItem,Pan rústico con tomate y aceite de oliva virgen extra,Offer,4.5,EUR,Para compartir,8.3,"""Mediterráneo""","""Paseo del Rey","""geo"":{""latitude"":40.4222884,""longitude"":-3.7189063",Café del Rey
1,1,MenuItem,Jamón ibérico,Offer,13.5,EUR,Para compartir,8.3,"""Mediterráneo""","""Paseo del Rey","""geo"":{""latitude"":40.4222884,""longitude"":-3.7189063",Café del Rey
2,2,MenuItem,Queso curado de oveja,Offer,9.5,EUR,Para compartir,8.3,"""Mediterráneo""","""Paseo del Rey","""geo"":{""latitude"":40.4222884,""longitude"":-3.7189063",Café del Rey
3,3,MenuItem,Patatas bravas rústicas,Offer,9.0,EUR,Para compartir,8.3,"""Mediterráneo""","""Paseo del Rey","""geo"":{""latitude"":40.4222884,""longitude"":-3.7189063",Café del Rey
4,4,MenuItem,Ensaladilla rusa de ventresca,Offer,11.0,EUR,Para compartir,8.3,"""Mediterráneo""","""Paseo del Rey","""geo"":{""latitude"":40.4222884,""longitude"":-3.7189063",Café del Rey
5,5,MenuItem,Croquetas caseras de jamón,Offer,11.0,EUR,Para compartir,8.3,"""Mediterráneo""","""Paseo del Rey","""geo"":{""latitude"":40.4222884,""longitude"":-3.7189063",Café del Rey
6,6,MenuItem,Huevos rotos con jamón ibérico,Offer,12.0,EUR,Para compartir,8.3,"""Mediterráneo""","""Paseo del Rey","""geo"":{""latitude"":40.4222884,""longitude"":-3.7189063",Café del Rey
7,7,MenuItem,Tiras de pechuga de pollo crujiente,Offer,12.0,EUR,Para compartir,8.3,"""Mediterráneo""","""Paseo del Rey","""geo"":{""latitude"":40.4222884,""longitude"":-3.7189063",Café del Rey
8,8,MenuItem,Alcachofas fritas con jamón ibérico,Offer,11.5,EUR,Para compartir,8.3,"""Mediterráneo""","""Paseo del Rey","""geo"":{""latitude"":40.4222884,""longitude"":-3.7189063",Café del Rey
9,9,MenuItem,Ensalada César con pollo crujiente,Offer,9.5,EUR,Para compartir,8.3,"""Mediterráneo""","""Paseo del Rey","""geo"":{""latitude"":40.4222884,""longitude"":-3.7189063",Café del Rey
10,10,MenuItem,Ensalada de burrata siciliana,Offer,9.5,EUR,Para compartir,8.3,"""Mediterráneo""","""Paseo del Rey","""geo"":{""latitude"":40.4222884,""longitude"":-3.7189063",Café del Rey
11,11,MenuItem,Timbal de escalivada y queso de cabra gratinado,Offer,9.5,EUR,Para compartir,8.3,"""Mediterráneo""","""Paseo del Rey","""geo"":{""latitude"":40.4222884,""longitude"":-3.7189063",Café del Rey
